BATTLE_MAP_ID	MAP_NAME_1	MAP_NAME_2	MAP_NAME_3	MAP_NAME_4	MAP_NAME_5	MAP_NAME_6	MAP_NAME_7	MAP_NAME_8	MAP_NAME_9	MAP_NAME_10
1	Hoµng Sa L©m Ngao Chi’n	Li‘u Nguy™n Chi’n	NgÚ Ph≠¨ng Nguy™n Chi’n	Bπch M´n Nguy™n Chi’n						
2	Hoµng Sa L©m Ngao Chi’n	Long V≠¨ng Ch©u Chi’n	ßan Giang Kh»u Chi’n							
3	Hoµng Sa L©m Ngao Chi’n									
4	Hoµng Sa L©m Ngao Chi’n	LÈc M´n S¨n Truy K›ch Chi’n								
5	Hoµng Sa L©m Ngao Chi’n	V©n L©m Chi’n								
6	Hoµng Sa L©m Ngao Chi’n	ßπi doanh Qu©n TËng	ßπi doanh Qu©n Kim							
7	Hoµng Sa L©m Ngao Chi’n									
8	Hoµng Sa L©m Ngao Chi’n									
9	Hoµng Sa L©m Ngao Chi’n									
10	Hoµng Sa L©m Ngao Chi’n									
11	Hoµng Sa L©m Ngao Chi’n									
12	Hoµng Sa L©m Ngao Chi’n									
13	Hoµng Sa L©m Ngao Chi’n									
14	Hoµng Sa L©m Ngao Chi’n									
15	QuËc chi’n Hoµng Sa L©m									
16	QuËc chi’n Hoµng Sa L©m									
17	QuËc chi’n Hoµng Sa L©m									
18	Hoµng Sa L©m Ngao Chi’n									
19	Chi’n Tr≠Íng Th∏p Ti‘n									
20	Chi’n Tr≠Íng TËng Kim									
21	Chi’n Tr≠Íng Hoang Mπc	Li‘u Nguy™n Chi’n	NgÚ Ph≠¨ng Nguy™n Chi’n	Bπch M´n Nguy™n Chi’n						
