TotalFile:87245	PakTime:2011-12-8 10:57:19	PakTimeSave:4ee0278f	CRC:66097dc7
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	3431	2006-12-9 20:4:42	\maps\中原南区\扬州\v_095\094_region_s.dat	2295	274	4	7e9aba3
1	8f9f	2006-12-9 20:3:8	\maps\特殊用地\端午节地图\v_083\101_region_s.dat	2100	132	4	c1f9e9ec
2	12270	2006-12-9 20:3:6	\maps\两湖区\武陵洞迷宫\v_095\100_region_s.dat	2100	77	4	f8efd509
3	244e4	2006-12-9 20:2:56	\maps\东北区\漠北草原\v_095\081_region_s.dat	2100	141	4	fd9ef8b
4	26b53	2006-12-9 20:3:39	\maps\西北南区\华山\v_129\142_region_s.dat	2100	77	4	5e7a9f6b
5	29170	2006-12-9 20:2:59	\maps\两湖区\神农架\神农架\v_106\112_region_s.dat	2100	175	4	f966c614
6	2dea2	2006-12-9 20:4:28	\maps\中原北区\宋金战场\v_112\076_region_s.dat	2100	193	4	e51bad66
7	3b282	2006-12-9 20:4:42	\maps\中原南区\扬州\v_087\097_region_s.dat	2100	105	4	e85b46fe
8	5ef34	2006-12-9 20:4:21	\maps\中原北区\汴京\汴京\v_109\097_region_s.dat	2417	225	4	fed5a5ca
9	77606	2007-5-17 2:40:22	\maps\特殊用地\武林第一帮\v_081\112_region_s.dat	2100	162	4	187e1d3e
10	80dca	2006-12-9 20:3:8	\maps\特殊用地\端午节地图\v_082\095_region_s.dat	2100	84	4	4a51bf42
11	85241	2006-12-9 20:2:56	\maps\东北区\长白山\长白山脚\v_074\073_region_s.dat	2173	78	4	47e77e54
12	a5aef	2006-12-9 20:3:54	\maps\西南北区\青城山\神仙洞迷宫\v_099\116_region_s.dat	2356	210	4	a5b4f521
13	c3f1b	2006-12-9 20:2:58	\maps\江南区\武夷山\玉华洞迷宫\v_101\087_region_s.dat	2173	205	4	3045d7bd
14	cccc1	2006-12-9 20:4:39	\maps\中原南区\襄阳\襄阳\v_095\084_region_s.dat	2234	196	4	c69a454e
15	dc2b9	2006-12-9 20:3:8	\maps\特殊用地\河滨战场\v_081\094_region_s.dat	2100	131	4	fd3161e6
16	e13d0	2006-12-9 20:4:43	\maps\中原南区\扬州\v_106\104_region_s.dat	2100	79	4	8a1b210e
17	105018	2006-12-9 20:3:39	\maps\西北南区\华山\v_115\149_region_s.dat	2234	264	4	c36a1b57
