Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Th¶o Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	<color><enter>Giµy Nam - CÊp 1<enter><enter><bclr=pink>VLTK<bclr>		35	1	0	30	7	7	31																		36	1							38	0		
Bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	<color><enter>Giµy Nam - CÊp 2<enter><enter><bclr=pink>VLTK<bclr>		130	2	0	30	12	12	31																		36	8							38	0		
Thiªn tÇng bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	<color><enter>Giµy Nam - CÊp 3<enter><enter><bclr=pink>VLTK<bclr>		325	3	0	30	18	18	31																		36	14							38	0		
C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	<color><enter>Giµy Nam - CÊp 4<enter><enter><bclr=pink>VLTK<bclr>		500	4	0	30	24	24	31																		36	20							38	0		
Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	<color><enter>Giµy Nam - CÊp 5<enter><enter><bclr=pink>VLTK<bclr>		800	5	0	30	30	30	31																		36	27							38	0		
B¸ch Niªn Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	<color><enter>Giµy Nam - CÊp 6<enter><enter><bclr=pink>VLTK<bclr>		1250	6	0	30	36	36	31																		36	33							38	0		
TrÜ VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<color><enter>Giµy Nam - CÊp 7<enter><enter><bclr=pink>VLTK<bclr>		1650	7	0	30	42	42	31																		36	40							38	0		
Giao Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	<color><enter>Giµy Nam - CÊp 8<enter><enter><bclr=pink>VLTK<bclr>		1925	8	0	30	48	48	31																		36	47							38	0		
Phong VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color><enter>Giµy Nam - CÊp 9<enter><enter><bclr=pink>VLTK<bclr>		2500	9	0	30	54	54	31																		36	54							38	0		
Cöu TiÕt X­¬ng VÜ Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color><enter>Giµy Nam - CÊp 10<enter><enter><bclr=pink>VLTK<bclr>		3200	10	0	30	60	60	31																		36	60							38	0		
Ng­u B× ngoa	0	5	1	\spr\item\equip\boots\obj-shoes06.spr	26	2	2	<color><enter>Giµy Nam - CÊp 1<enter><enter><bclr=pink>VLTK<bclr>		75	1	0	30	17	17	31																		36	3							38	0		
TËt Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes06.spr	26	2	2	<color><enter>Giµy Nam - CÊp 2<enter><enter><bclr=pink>VLTK<bclr>		300	2	0	30	28	28	31																		36	10							38	0		
¤ B× Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes07.spr	26	2	2	<color><enter>Giµy Nam - CÊp 3<enter><enter><bclr=pink>VLTK<bclr>		700	3	0	30	42	42	31																		36	16							38	0		
§»ng Méng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes07.spr	26	2	2	<color><enter>Giµy Nam - CÊp 4<enter><enter><bclr=pink>VLTK<bclr>		1200	4	0	30	56	56	31																		36	22							38	0		
Phi La Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	<color><enter>Giµy Nam - CÊp 5<enter><enter><bclr=pink>VLTK<bclr>		1800	5	0	30	70	70	31																		36	29							38	0		
Lôc Thóy Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	<color><enter>Giµy Nam - CÊp 6<enter><enter><bclr=pink>VLTK<bclr>		2500	6	0	30	84	84	31																		36	35							38	0		
Hæ B× Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	<color><enter>Giµy Nam - CÊp 7<enter><enter><bclr=pink>VLTK<bclr>		3250	7	0	30	98	98	31																		36	42							38	0		
Tª B× Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	<color><enter>Giµy Nam - CÊp 8<enter><enter><bclr=pink>VLTK<bclr>		4500	8	0	30	112	112	31																		36	49							38	0		
Long L©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	<color><enter>Giµy Nam - CÊp 9<enter><enter><bclr=pink>VLTK<bclr>		6000	9	0	30	126	126	31																		36	56							38	0		
Thiªn Tµm Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	<color><enter>Giµy Nam - CÊp 10<enter><enter><bclr=pink>VLTK<bclr>		7250	10	0	30	140	140	31																		36	62							38	0		
Tó Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes11.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 1<enter><enter><bclr=pink>VLTK<bclr>		35	1	0	30	7	7	31																		36	1							38	1		
L¨ng T¬ Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes11.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 2<enter><enter><bclr=pink>VLTK<bclr>		130	2	0	30	12	12	31																		36	8							38	1		
GÊm hµi	0	5	2	\spr\item\equip\boots\obj-shoes12.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 3<enter><enter><bclr=pink>VLTK<bclr>		325	3	0	30	18	18	31																		36	14							38	1		
Uyªn ¦¬ng Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes12.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 4<enter><enter><bclr=pink>VLTK<bclr>		500	4	0	30	24	24	31																		36	20							38	1		
Toan Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes13.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 5<enter><enter><bclr=pink>VLTK<bclr>		800	5	0	30	30	30	31																		36	27							38	1		
L©m Ngäc hµi	0	5	2	\spr\item\equip\boots\obj-shoes13.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 6<enter><enter><bclr=pink>VLTK<bclr>		1250	6	0	30	36	36	31																		36	33							38	1		
Liªn Phong Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes14.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 7<enter><enter><bclr=pink>VLTK<bclr>		1650	7	0	30	42	42	31																		36	40							38	1		
Ph¹m Hång Ngoa	0	5	2	\spr\item\equip\boots\obj-shoes14.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 8<enter><enter><bclr=pink>VLTK<bclr>		1925	8	0	30	48	48	31																		36	47							38	1		
B¹ch Chu ngoa	0	5	2	\spr\item\equip\boots\obj-shoes15.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 9<enter><enter><bclr=pink>VLTK<bclr>		2500	9	0	30	54	54	31																		36	54							38	1		
Kim Lò hµi	0	5	2	\spr\item\equip\boots\obj-shoes15.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 10<enter><enter><bclr=pink>VLTK<bclr>		3200	10	0	30	60	60	31																		36	60							38	1		
Léc B× ngoa	0	5	3	\spr\item\equip\boots\obj-shoes16.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 1<enter><enter><bclr=pink>VLTK<bclr>		75	1	0	30	17	17	31																		36	3							38	1		
Kþ hµi	0	5	3	\spr\item\equip\boots\obj-shoes16.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 2<enter><enter><bclr=pink>VLTK<bclr>		300	2	0	30	28	28	31																		36	10							38	1		
Ng©n §o¹n ngoa	0	5	3	\spr\item\equip\boots\obj-shoes17.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 3<enter><enter><bclr=pink>VLTK<bclr>		700	3	0	30	42	42	31																		36	16							38	1		
Phï Dung ngoa	0	5	3	\spr\item\equip\boots\obj-shoes17.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 4<enter><enter><bclr=pink>VLTK<bclr>		1200	4	0	30	56	56	31																		36	22							38	1		
Háa T­êng Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes18.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 5<enter><enter><bclr=pink>VLTK<bclr>		1800	5	0	30	70	70	31																		36	29							38	1		
Môc V©n ngoa	0	5	3	\spr\item\equip\boots\obj-shoes18.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 6<enter><enter><bclr=pink>VLTK<bclr>		2500	6	0	30	84	84	31																		36	35							38	1		
X­¬ng Hoµn ngoa	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 7<enter><enter><bclr=pink>VLTK<bclr>		3250	7	0	30	98	98	31																		36	42							38	1		
TuyÕt Doanh ngoa	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 8<enter><enter><bclr=pink>VLTK<bclr>		4500	8	0	30	112	112	31																		36	49							38	1		
SÝnh Sa ngoa	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 9<enter><enter><bclr=pink>VLTK<bclr>		6000	9	0	30	126	126	31																		36	56							38	1		
Phi Phông Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	<color><enter>Giµy N÷ - CÊp 10<enter><enter><bclr=pink>VLTK<bclr>		7250	10	0	30	140	140	31																		36	62							38	1		
