物品索引（行数减1）	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
197	999	0	0	0	0	0	0	0	0	0
198	999	0	0	0	0	0	0	0	0	0
199	999	0	0	0	0	0	0	0	0	0
148	999	0	0	0	0	0	0	0	0	0
150	999	0	0	0	0	0	0	0	0	0
151	999	0	0	0	0	0	0	0	0	0
152	999	0	0	0	0	0	0	0	0	0
153	999	0	0	0	0	0	0	0	0	0
154	999	0	0	0	0	0	0	0	0	0
155	999	0	0	0	0	0	0	0	0	0
160	999	0	0	0	0	0	0	0	0	0
157	999	0	0	0	0	0	0	0	0	0
158	999	0	0	0	0	0	0	0	0	0
159	999	0	0	0	0	0	0	0	0	0
179	999	0	0	0	0	0	0	0	0	0
180	999	0	0	0	0	0	0	0	0	0
181	999	0	0	0	0	0	0	0	0	0
182	999	0	0	0	0	0	0	0	0	0
183	999	0	0	0	0	0	0	0	0	0
184	999	0	0	0	0	0	0	0	0	0
185	999	0	0	0	0	0	0	0	0	0
186	999	0	0	0	0	0	0	0	0	0
187	999	0	0	0	0	0	0	0	0	0
188	999	0	0	0	0	0	0	0	0	0
189	999	0	0	0	0	0	0	0	0	0
190	999	0	0	0	0	0	0	0	0	0
191	999	0	0	0	0	0	0	0	0	0
192	999	0	0	0	0	0	0	0	0	0
193	999	0	0	0	0	0	0	0	0	0
194	999	0	0	0	0	0	0	0	0	0
195	999	0	0	0	0	0	0	0	0	0
196	999	0	0	0	0	0	0	0	0	0
213	999	0	0	0	0	0	0	0	0	0
215	999	0	0	0	0	0	0	0	0	0
216	999	0	0	0	0	0	0	0	0	0
217	999	0	0	0	0	0	0	0	0	0
218	999	0	0	0	0	0	0	0	0	0
219	999	0	0	0	0	0	0	0	0	0
220	999	0	0	0	0	0	0	0	0	0
221	999	0	0	0	0	0	0	0	0	0
222	999	0	0	0	0	0	0	0	0	0
223	999	0	0	0	0	0	0	0	0	0
224	999	0	0	0	0	0	0	0	0	0
225	999	0	0	0	0	0	0	0	0	0
226	999	0	0	0	0	0	0	0	0	0
227	999	0	0	0	0	0	0	0	0	0
228	999	0	0	0	0	0	0	0	0	0
229	999	0	0	0	0	0	0	0	0	0
230	999	0	0	0	0	0	0	0	0	0
231	999	0	0	0	0	0	0	0	0	0
